Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,75.40363,1.572365,0.01902885,86.14299,-56.55881,-56.6185,81.47889,-24.17078,-23.92331,80.69305,-5.643677,-5.194031,85.85674,-155.3566,-155.3083,76.5611,-174.9816,-174.591,1,0.8823529,0.9843137
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,77.36706,1.221615,-0.5791321,86.72536,-100.4946,-100.4778,83.57746,-32.80942,-32.4903,67.99601,-2.006439,-1.674683,77.33794,-7.415375,-7.704712,85.80465,-17.94287,-17.69147,1,0.9215686,0.772549
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,81.67854,-0.3669128,-2.712494,82.73677,-153.8062,-153.6229,86.5489,-86.99078,-86.51477,19.96867,0.2998095,2.034369,24.96483,-0.7011719,-1.914276,24.35956,-0.856842,-1.3638,1,0.9843137,0.1882353
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,81.44311,-0.2304993,-2.546234,83.02312,-152.631,-152.4568,86.51991,-82.30179,-81.83435,13.26673,0.3118564,2.494139,18.85643,-0.526825,-1.837646,16.68961,-0.6459351,-1.298615,1,0.9803922,0.1098039
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,81.44311,-0.2304993,-2.546234,83.02312,-152.631,-152.4568,86.51991,-82.30179,-81.83435,14.94207,0.3139367,2.376834,20.35819,-0.5674133,-1.854401,18.58204,-0.6965637,-1.311554,1,0.9803922,0.1333333
-14.3342,90.87276,42.23301,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.14797,-0.6665039,-3.071655,82.15836,-155.8902,-155.6889,86.53671,-96.41702,-95.92392,38.79939,-0.03045654,0.8123395,43.65999,-1.457367,-2.359741,47.28652,-1.690277,-1.849152,1,0.9882353,0.4196078
-13.58112,90.19965,42.09631,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,78.82097,0.8502102,-1.133911,85.86213,-128.9567,-128.8836,84.97125,-43.64618,-43.27411,72.83718,-2.83493,-2.485992,83.35162,-14.63611,-14.8031,87.08994,-154.4237,-154.1165,1,0.9333333,0.8862745
-12.53439,89.26196,41.89143,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,79.30196,0.698758,-1.3461,85.41815,-135.4121,-135.3204,85.37763,-48.59937,-48.20978,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.945098,1
